Title,Type,Department,Medium,Year~,Artist
Animal-Spouted Pitcher,Ewer,Islamic Art,Earthenware; polychrome decoration under transparent glaze (buff ware),999,
Dish (piatto): Man Washing the Mouth of an Ass,Dish,Robert Lehman Collection,Maiolica (tin-glazed earthenware),1563,
Plate (piatto): The story of Aeneas,Plate,Robert Lehman Collection,Maiolica (tin-glazed earthenware),1532,Francesco Xanto Avelli da Rovigo
Potpourri with cover,Potpourri with cover,European Sculpture and Decorative Arts,Faience (tin-glazed earthenware),1765,Niderviller
Stove,Stove,European Sculpture and Decorative Arts,Faience (tin-glazed earthenware),1690,David II Pfau
Armorial Plate (tondino): The story of King Midas,Plate,Robert Lehman Collection,Maiolica (tin-glazed earthenware),1528,Nicola da Urbino
"Bowl with the Arms of Pope Julius II and the Manzoli of Bologna surrounded by putti, cornucopiae, satyrs, dolphins, birds, etc.",Bowl,Robert Lehman Collection,Maiolica (tin-glazed earthenware),1508,workshop of Giovanni Maria Vasaro
Armorial dish: Supper at the House of Simon the Pharisee,Dish,Robert Lehman Collection,Maiolica (tin-glazed earthenware),1528,Maestro Giorgio Andreoli
Jug,Jug,Medieval Art,Earthenware,1499,
Vase with cover (part of a garniture),Vase with cover,European Sculpture and Decorative Arts,Tin-glazed earthenware,1695,Lambertus van Eenhoorn
Vase,Vase,European Sculpture and Decorative Arts,Tin-glazed earthenware (Delftware),1695,Daniel Marot the Elder
Platter,Platter,European Sculpture and Decorative Arts,Lead-glazed earthenware,1599,Bernard Palissy
Pitcher (Hu),Pitcher,Asian Art,Earthenware,-2450,
Bowl with Lioness,Bowl,Medieval Art,Earthenware,1300,
Head of a Clay Figure (Dogū),Head,Asian Art,Earthenware,-1200,
Plug-Shaped Ear Ornaments,Earrings,Asian Art,Earthenware,-900,
Head of a Clay Figure (Dogū),Head,Asian Art,Earthenware,-1200,
"Bowl with Green, Yellow, and Brown Splashed Decoration",Bowl,Islamic Art,"Earthenware; white slip, incised and splashed with polychrome glazes under transparent glaze (sgraffito ware)",999,
Kendi in the Form of a Hamsa (Gander),Kendi,Asian Art,Earthenware with cream white glaze and iron-brown underglaze decoration,1570,
Ewer,Ewer,European Sculpture and Decorative Arts,"Lead-glazed earthenware inlaid with slip, with molded ornament",1555,
Jug,Jug,Medieval Art,Glazed earthenware,1500,
Pitcher,Pitcher,Medieval Art,Glazed earthenware,1600,
Bottle (Refredador),Bottle,European Sculpture and Decorative Arts,Tin-glazed and luster-painted earthenware,1550,
Jar,Jar,Islamic Art,Earthenware; unglazed,899,
Horse Figurine,Figure,Islamic Art,Earthenware; modeled,899,
Jug with Flattened Spout,Jug,Medieval Art,Glazed earthenware,1305,
Jug with Eagle,Jug,Medieval Art,Glazed earthenware,1430,
Aquamanile in the Form of a Ram,Aquamanile,The Cloisters,"Earthenware, green glaze",1350,
Footed cup with palmettes,Bowl,Medieval Art,"Earthenware, glazed",1399,
Bowl with Saints Peter and Paul,Bowl,Medieval Art,"Earthenware, glazed",355,
Flattened Hemispherical Bead,Bead,Medieval Art,"Earthenware, glaze",600,
Vase (Hu),Vase,Asian Art,Burnished earthenware,-2000,
Jug,Jug,Medieval Art,"Earthenware, glazed",1599,
Pendant,Pendant,Islamic Art,Earthenware; glazed,1099,
Footed Cup with Falconer,Bowl,Medieval Art,"Earthenware, glazed",1499,
Jug,Jug,Medieval Art,"Earthenware, glazed",1550,
Water Dropper in the Form of a Kneeling Hunchbacked Chinese Man,Water dropper,Asian Art,Earthenware,1570,
Water Dropper in the form of a Seated Demon,Water dropper,Asian Art,Earthenware,1550,
Figurine of a Female (?) Seated Personage with Elaborate Headdress,Figure,Islamic Art,Earthenware; unglazed,1299,
Figurine of a Seated Personage with Folded Arms and Elaborate Headdress,Figure,Islamic Art,Earthenware; unglazed,1299,
Figurine of a Seated Drum Player,Figure,Islamic Art,Earthenware; unglazed,1299,
Lamp with Jewish Symbols,Lamp,Islamic Art,Earthenware; molded,475,
Anthropomorphic Funerary Lid,Lid,Asian Art,Earthenware,310,
"""Inkstone"" and cover in the shape of a turtle",Covered inkstone,Asian Art,Earthenware,699,
Vase with Incised and Impressed Designs,Vase,Asian Art,Earthenware (blackware),-1000,
Pharmacy Jar,Pharmacy jar,The Cloisters,Tin-glazed earthenware,1475,
Handled Vase,Vase,The Cloisters,Tin-glazed earthenware,1599,
Pharmacy Jar,Pharmacy jar,Medieval Art,Tin-glazed earthenware,1450,
Dish with Unidentified Coat of Arms,Dish,The Cloisters,Tin-glazed earthenware,1490,
Dish,Dish,The Cloisters,Tin-glazed earthenware,1499,
Pharmacy Jar,Pharmacy jar,The Cloisters,Tin-glazed earthenware,1465,
Pharmacy Jar,Pharmacy jar,The Cloisters,Tin-glazed earthenware,1465,
Pharmacy Jar,Pharmacy jar,The Cloisters,Tin-glazed earthenware,1550,
Deep Dish with Eagle,Dish,The Cloisters,Tin-glazed earthenware,1470,
Dish,Dish,The Cloisters,Tin-glazed earthenware,1500,
Dish,Dish,The Cloisters,Tin-glazed earthenware,1499,
Pharmacy Jar,Pharmacy jar,The Cloisters,Tin-glazed earthenware,1430,
Dish with Lion,Dish,The Cloisters,Tin-glazed earthenware,1505,
Deep Dish,Dish,The Cloisters,Tin-glazed earthenware,1430,
Dish,Dish,The Cloisters,Tin-glazed earthenware,1430,
Plate,Plate,The Cloisters,Tin-glazed earthenware,1490,
Dish,Dish,Medieval Art,"Earthenware, tin-glaze (Majolica)",1450,
Dish with IHS Monogram and Floral Pattern,Dish,The Cloisters,Tin-glazed earthenware,1460,
Dish,Dish,The Cloisters,Tin-glazed earthenware,1450,
Charger with flowers and butterflies,Charger,European Sculpture and Decorative Arts,Earthenware,1885,Edmond Lachenal
Charger,Charger,Modern and Contemporary Art,Lustred earthenware,1888,William De Morgan
Cup with Star,Bowl,Medieval Art,"earthenware, tin-glazed",1599,
Handled Bowl,Bowl,Asian Art,Earthenware with green glaze,420,
Jug,Jug,Medieval Art,Partially glazed earthenware,1325,
Jar,Jar,Asian Art,Earthenware with green glaze,1,
Dish with Rampant Lions,Dish,Medieval Art,Tin-glazed earthenware,1450,
Pharmacy Jar,Pharmacy jar,Medieval Art,Tin-glazed earthenware,1450,
Pendant,Pendant,Islamic Art,Earthenware; molded under turquoise glaze,1099,
Pendant,Pendant,Islamic Art,Earthenware; turquoise blue glaze,1099,
Jug,Jug,Islamic Art,Earthenware; slip covered and unglazed,999,
Bowl,Bowl,Medieval Art,"Earthenware, glazed (Mezzo-maiolica)",1299,
Jar,Jar,Medieval Art,Earthenware with slip decoration,1399,
Large Turquoise Jar,Vase,Islamic Art,Earthenware; molded and glazed,1299,
Plate,Plate,The Cloisters,Tin-glazed earthenware,1470,
Two-Handled Bowl with Fish,Bowl,Medieval Art,Tin-glazed earthenware,1430,
Bowl,Bowl,Medieval Art,Tin-glazed earthenware,1450,
Pharmacy Jar,Pharmacy jar,Medieval Art,Tin-glazed earthenware,1450,
Pharmacy Jar,Pharmacy jar,Medieval Art,Tin-glazed earthenware,1450,
Flask,Flask,Medieval Art,Partially glazed earthenware,1600,
Pharmacy Jar,Jar,Medieval Art,Tin-glazed earthenware,1450,
Model of a well head,Model,Asian Art,Earthenware with green lead glaze,199,
Lid with a Lion attacking a Bull,Lid,Islamic Art,"Earthenware; molded decoration, unglazed",1199,
Jug with Figure in Profile,Jug,Medieval Art,Tin-glazed earthenware,1450,
Dish with Interlace Designs,Dish,Islamic Art,Earthenware; molded and glazed,899,
Footed Bowl with Lotuses,Bowl,Islamic Art,Earthenware; tin-enameled,1550,
Two-Handled Jar with Lions' Heads,Jar,Medieval Art,Tin-glazed earthenware,1450,
Pharmacy Jar,Pharmacy jar,Medieval Art,Tin-glazed earthenware,1470,
Dish with Heraldic Shield,Plate,Medieval Art,Tin-glazed earthenware,1500,
Vase,Vase,Asian Art,Earthenware with black glaze,799,
Miniature covered jar and “inkstone”,Jar,Asian Art,Earthenware with green glaze,733,
Earthenware Lantern,Lantern,Islamic Art,"Earthenware; slip covered, unglazed",999,
Pottery Mold,Mold,Islamic Art,Earthenware; modeled and incised,1199,
Possibly a Sculpture or Whistle,Sculpture or whistle,Islamic Art,Earthenware (?),1199,
Unglazed Ewer,Ewer,Islamic Art,"Earthenware; incised, unglazed",999,
Pharmacy Jar,Pharmacy jar,Medieval Art,Tin-glazed earthenware,1450,
Large Dish,Dish,Medieval Art,Tin-glazed earthenware,1425,
Two-Handled Jar with Stag,Jar,Medieval Art,Tin-glazed earthenware,1450,
Flask with Molded Decoration,Flask,Islamic Art,"Earthenware; molded decoration, unglazed",1299,
Dish,Dish,Islamic Art,"Earthenware; molded, unglazed",750,
Ring-Shaped Ewer,Ewer,Islamic Art,Earthenware; molded and glazed,799,
House with Courtyard,Model,Asian Art,Earthenware with green lead glaze,233,
Pitcher (Hu),Pitcher,Asian Art,Earthenware with pigment,-2050,
Jar (Guan),Jar,Asian Art,Earthenware with pigment,-2350,
Bowl,Bowl,The Cloisters,Tin-glazed earthenware,1460,
Two-Handled Jar with Birds and a Coat of Arms,Jar,Medieval Art,Tin-glazed earthenware,1450,
Pharmacy Jar with the Arms of the Hospital of Santa Maria della Scala,Pharmacy jar,Medieval Art,Tin-glazed earthenware,1450,
Floor tiles (set of 350),Floor tiles,European Sculpture and Decorative Arts,Earthenware,1995,San Marco Laterizi di Noale
Bowl,Bowl,Modern and Contemporary Art,Earthenware,1956,Gertrud Natzler
Dish with Phoenixes,Dish,Islamic Art,Earthenware; painted under transparent glaze,1699,
Pitcher,Pitcher,European Sculpture and Decorative Arts,Earthenware,1905,Max Läuger
Lobed cooking cauldron (Li ),Cooking vessel,Asian Art,Earthenware with comb striations,-1000,
Rhyton with handle in the shape of a monkey,Rhyton,Asian Art,Earthenware with brown glaze,799,
Axe Vessel,Vessel,Modern and Contemporary Art,Earthenware,1986,Gordon Baldwin
Covered jar,Covered jar,Asian Art,Earthenware with blue glaze,699,
Vase,Vase,European Sculpture and Decorative Arts,Earthenware,1904,Max Läuger
Deep Dish,Dish,The Cloisters,Tin-glazed earthenware,1440,
Dish,Dish,European Sculpture and Decorative Arts,Earthenware,1905,Zsolnay
Plate,Plate,The Cloisters,Tin-glazed earthenware,1425,
Two-Handled Jar with Stag,Jar,Medieval Art,Tin-glazed earthenware,1355,
Food serving vessel (Dou),Food vessel,Asian Art,Earthenware with pigment,-300,
Covered jar,Jar,Asian Art,Earthenware with dappled black glaze,799,
Vase,Vase,European Sculpture and Decorative Arts,Earthenware,1898,Christopher Dresser
Jar with Spiral Decoration and Cross Hatching,Jar,Asian Art,Earthenware with pigment,-2000,
Figure of a Standing Dog,Figure,Asian Art,Earthenware with green glaze,199,
Vase with plant motif,Vase,European Sculpture and Decorative Arts,Earthenware,1908,Emile Decoeur
Figure of a Dog,Figure,Asian Art,Earthenware with dark green glaze,220,
Horse and cavalry rider,Figures,Asian Art,Earthenware with pigment,220,
Jug,Jug,European Sculpture and Decorative Arts,Earthenware,1885,Christopher Dresser
Vase,Vase,European Sculpture and Decorative Arts,Earthenware,1895,Joseph-Théodore Deck
Inkwell,Inkwell,Modern and Contemporary Art,Glazed earthenware,1930,Eva Zeisel
L'Ivresse,Jug,European Sculpture and Decorative Arts,Glazed earthenware,1905,James Vibert
Miniature orb vase in blue and white,Miniature orb vase,European Sculpture and Decorative Arts,Earthenware,1879,Worcester factory
Dish with The Woman of Sestos and the Eagle and arms of the Pucci family,Dish,European Sculpture and Decorative Arts,Maiolica (tin-glazed earthenware),1532,Fra Xanto Avelli da Rovigo
Tray,Tray,Asian Art,Earthenware with three-color (sancai) glaze,799,
Vase with lid (one of a pair),Vase with cover,European Sculpture and Decorative Arts,Earthenware with transfer-printed and enamel decoration,1850,C. J. Mason and Co.
Vase with lid (one of a pair),Vase with cover,European Sculpture and Decorative Arts,Earthenware with transfer-printed and enamel decoration,1850,C. J. Mason and Co.
"Large basin with snake, ferns, and bark",Platter,European Sculpture and Decorative Arts,Glazed earthenware,1855,Charles-Jean Avisseau
Round plate with lobster,Dish,European Sculpture and Decorative Arts,Glazed earthenware,1889,Rafael Bordalo Pinheiro
Vase with handles,Vase,European Sculpture and Decorative Arts,Earthenware,1887,Christopher Dresser
Bowl with Fish,Bowl,Medieval Art,"Earthenware, engraved slip, clear glaze",1300,
Stove Tile with Saint John the Evangelist and Samson,Tile,Medieval Art,"Earthenware, lead glaze",1500,Buda Castle Workshop
"Grotto with owl, snake, and lizard",Group,European Sculpture and Decorative Arts,Glazed earthenware,1855,Charles-Jean Avisseau
Set of twelve zodiac animals,Figures,Asian Art,Earthenware with white slip,799,
Ewer with female figure,Ewer,European Sculpture and Decorative Arts,Glazed earthenware,1855,Joseph Landais
Bowl with Eagle,Bowl,Islamic Art,Earthenware; luster-painted on opaque white glaze,1025,Muslim Ibn al-Dahhan
Tile,Tile,European Sculpture and Decorative Arts,Earthenware,1880,Minton(s)
Charger with birds,Charger,European Sculpture and Decorative Arts,Earthenware,1895,Joseph-Théodore Deck
Large Platter with Fish,Platter,European Sculpture and Decorative Arts,Glazed earthenware,1875,Victor Barbizet
Snake,Figure,European Sculpture and Decorative Arts,Glazed earthenware,1880,Saint-Honoré-les-Bains
Jar (Guan),Jar,Asian Art,Earthenware with pigment,-2000,
Head of a Clay Figure (Dogū),Head,Asian Art,Earthenware with incised decoration,-2500,
Tall-Footed Bowl (Hachi),Bowl,Asian Art,Earthenware with pigment,-100,
Dish (coppa),Dish,Robert Lehman Collection,Lustered earthenware Maiolica (tin-glazed earthenware),1543,workshop of Guido Durantino
Display dish with a cavalier and portrait medallions,Charger,European Sculpture and Decorative Arts,Slip-decorated earthenware,1677,Ralph Toft
Animal Pen with Figures,Architectural model,Asian Art,Earthenware with green lead glaze,233,
Vessel with Bulbous Body,Vessel,Asian Art,Earthenware with buff slip and incised red oxide decoration,-300,
Tile,Tile,European Sculpture and Decorative Arts,Tin-glazed earthenware,1645,
Tile,Tile,European Sculpture and Decorative Arts,Tin-glazed earthenware,1635,
Tile,Tile,European Sculpture and Decorative Arts,Tin-glazed earthenware,1645,
Tile,Tile,European Sculpture and Decorative Arts,Tin-glazed earthenware,1799,
Tile,Tile,European Sculpture and Decorative Arts,Tin-glazed earthenware,1645,
Plate,Plate,European Sculpture and Decorative Arts,Tin-glazed earthenware,1717,
Ornament with mask motif,Ornament,Asian Art,Earthenware with three-color (sancai) glaze,799,
Quadruped Oil Lamp,Oil lamp,Islamic Art,"Earthenware; applied, incised, cut, glazed",1199,
Jar,Jar,Medieval Art,Earthenware with slip decoration and partial glaze,1400,
Tile,Tile,European Sculpture and Decorative Arts,Tin-glazed earthenware,1660,
Tile,Tile,European Sculpture and Decorative Arts,Tin-glazed earthenware,1660,
Tile,Tile,European Sculpture and Decorative Arts,Tin-glazed earthenware,1640,
Tile,Tile,European Sculpture and Decorative Arts,Tin-glazed earthenware,1660,
Tile,Tile,European Sculpture and Decorative Arts,Tin-glazed earthenware,1640,
Tile,Tile,European Sculpture and Decorative Arts,Tin-glazed earthenware,1660,
Tile,Tile,European Sculpture and Decorative Arts,Tin-glazed earthenware,1665,
Tile,Tile,European Sculpture and Decorative Arts,Tin-glazed earthenware,1660,
Tile,Tile,European Sculpture and Decorative Arts,Tin-glazed earthenware,1660,
Tile,Tile,European Sculpture and Decorative Arts,Tin-glazed earthenware,1660,
Tile,Tile,European Sculpture and Decorative Arts,Tin-glazed earthenware,1660,
Tile,Tile,European Sculpture and Decorative Arts,Tin-glazed earthenware,1660,
Tile,Tile,European Sculpture and Decorative Arts,Tin-glazed earthenware,1650,
Tile,Tile,European Sculpture and Decorative Arts,Tin-glazed earthenware,1660,
Tile,Tile,European Sculpture and Decorative Arts,Tin-glazed earthenware,1899,
Tile,Tile,European Sculpture and Decorative Arts,Tin-glazed earthenware,1899,
Tile,Tile,European Sculpture and Decorative Arts,Tin-glazed earthenware,1660,
Pillow,Pillow,Asian Art,Earthenware with three-color (sancai) glaze,733,
Groom,Figure,Asian Art,Earthenware with three-color (sancai) glaze,799,
Dish (tondino),Dish,Robert Lehman Collection,Maiolica (tin-glazed earthenware),1533,Italian
"Bowl with Inscription, ""Sovereignty is God's""",Bowl,Islamic Art,Earthenware; white slip with black slip decoration under transparent glaze,925,
Bowl,Bowl,European Sculpture and Decorative Arts,Agateware (glazed earthenware),1755,
Equestrian figure of a hussar officer,Figure,European Sculpture and Decorative Arts,Tin-glazed earthenware,1755,
Dish,Dish,European Sculpture and Decorative Arts,Tin-glazed earthenware,1705,
Two-handled cup,Cup,European Sculpture and Decorative Arts,Slip-decorated earthenware,1715,
Teapot,Teapot,European Sculpture and Decorative Arts,Agateware (glazed earthenware),1755,
Teapot,Teapot,European Sculpture and Decorative Arts,Agateware (glazed earthenware),1755,
Box,Box,Asian Art,Earthenware with three-color (sancai) glaze,750,
Horse and boy,Figure,Asian Art,Earthenware with three-color (sancai) glaze,799,
Box,Box,Asian Art,Earthenware with three-color (sancai) glaze,799,
Tripod cup with ring handle (bei),Cup,Asian Art,Earthenware with marblized body and brown glaze,749,
Ruby Luster Bowl with Large Palmette,Bowl,Islamic Art,"Earthenware; glazed, polychrome luster-painted",899,
Tray,Tray,Asian Art,Earthenware with three-color (sancai) glaze,799,
Plate (tondino),Plate,Robert Lehman Collection,Maiolica (tin-glazed earthenware),1521,Maestro Giorgio Andreoli
Candlestick (candeliere),Candlestick,Robert Lehman Collection,Maiolica (tin-glazed earthenware),1535,workshop of Guido Durantino
Dish (tondino),Dish,Robert Lehman Collection,Maiolica (tin-glazed earthenware),1533,Maestro Giorgio Andreoli
Candlestick (candeliere),Candlestick,Robert Lehman Collection,Maiolica (tin-glazed earthenware),1535,workshop of Guido Durantino
Plate (tondino),Plate,Robert Lehman Collection,Maiolica (tin-glazed earthenware),1523,Maestro Giorgio Andreoli
Plate (tagliere),Plate,Robert Lehman Collection,Maiolica (tin-glazed earthenware),1523,Maestro Giorgio Andreoli
Plate (tondino),Plate,Robert Lehman Collection,Maiolica (tin-glazed earthenware),1519,Maestro Giorgio Andreoli
Circular Ram Pen with Rider,Architectural model,Asian Art,Earthenware with green lead glaze,233,
Stove,Stove model,Asian Art,Earthenware with green lead glaze,233,
Christ and the Woman of Samaria,Inkstand,European Sculpture and Decorative Arts,Lead-glazed earthenware,1615,
Dish (coppa umbonata),Dish,Robert Lehman Collection,Maiolica (tin-glazed earthenware),1522,Maestro Giorgio Andreoli
Plate (tondino),Plate,Robert Lehman Collection,Maiolica (tin-glazed earthenware),1533,Maestro Giorgio Andreoli
Plate (tondino),Plate,Robert Lehman Collection,Maiolica (tin-glazed earthenware),1519,Maestro Giorgio Andreoli
Trilobed cistern (bacile trilobato),Cistern,Robert Lehman Collection,Maiolica (tin-glazed earthenware),1613,workshop of Francesco Patanazzi
Jar,Jar,Asian Art,Earthenware with dappled yellow and green glaze,749,
Pillow,Pillow,Asian Art,Earthenware with marbled veneer and brown glaze,710,
Vase with cover,Vase with cover,European Sculpture and Decorative Arts,Glazed earthenware,1780,Wedgwood and Bentley
Dish with Scale-Pattern Design,Dish,Islamic Art,Earthenware; polychrome painted under transparent glaze,1605,
"Blue-ground Ewer with Floral, Tiger-stripe and 'Cintamani' Designs",Ewer,Islamic Art,Earthenware; polychrome painted under transparent glaze,1610,
The Ming Sisters,Sculpture,Modern and Contemporary Art,"Glazed earthenware, epoxy resin, lacquer and paint",2003,Betty Woodman
Cocoon-Shaped Vessel,Vessel,Asian Art,Earthenware with incised decoration and burnishing,-1,
Tile,Tile,European Sculpture and Decorative Arts,Tin-glazed earthenware,1599,
Rhyton in the shape of a bird,Rhyton,Asian Art,Earthenware with three-color (sancai) glaze,799,
Footed pot,Pot,The Cloisters,Paritally glazed earthenware,1299,
Dish (coppa),Dish,Robert Lehman Collection,Maiolica (tin-glazed earthenware),1522,The Saint Ubaldus Painter
Dish (coppa): Saint Margaret,Dish,Robert Lehman Collection,Maiolica (tin-glazed earthenware),1527,Maestro Giorgio Andreoli
Dish (coppa),Dish,Robert Lehman Collection,Maiolica (tin-glazed earthenware),1532,Francesco Xanto Avelli da Rovigo
Plate (piatto): The Prodigal Son among the swine,Plate,Robert Lehman Collection,Maiolica (tin-glazed earthenware),1525,Maestro Giorgio Andreoli
Pair of candlesticks (candelieri),Candlesticks,Robert Lehman Collection,Maiolica (tin-glazed earthenware),1563,workshop of Guido Durantino
Dish (piatto): Vulcan forging an arrow for Cupid,Dish,Robert Lehman Collection,Maiolica (tin-glazed earthenware),1533,"the ""Milan Marsyas"" Painter"
Pair of candlesticks (candelieri),Candlesticks,Robert Lehman Collection,Maiolica (tin-glazed earthenware),1563,workshop of Guido Durantino
Ampulla (Flask) of Saint Menas,Ampulla (Flask) of Saint Menas,Medieval Art,"Earthenware, molded",650,
Plate (scodella),Plate,Robert Lehman Collection,Maiolica (tin-glazed earthenware),1543,workshop of Guido Durantino
Nsodie (memorial head),Head,The Michael C. Rockefeller Wing,Terracotta,1750,Akan artist
Bust of the Virgin,Bust,The Cloisters,Terracotta with paint,1395,
Seated figure,Figure,The Michael C. Rockefeller Wing,Terracotta,1300,Middle Niger artist
Terracotta Tomb Plaque,Relief,Medieval Art,Terracotta,800,
Buddha Seated Under the Bodhi Tree,Votive plaque,Asian Art,Terracotta,899,
Ukhamba (beer drinking vessel),Ceramic Vessel,The Michael C. Rockefeller Wing,Terracotta,2000,Mncane Zinindeli Nzuza
Nsodie (memorial head) of a queen mother,Head,The Michael C. Rockefeller Wing,Terracotta,1899,Akan artist
Chilongo chakumuto (water vessel),Ceramic vessel,The Michael C. Rockefeller Wing,"Terracotta, slip, kaolin",1980,Makonde artist
Pipe bowl,Pipe,The Michael C. Rockefeller Wing,"Terracotta, camwood powder",1931,Tita Yuefainji
Fragment of a Frieze,Frieze fragment,Islamic Art,"Terracotta; carved, painted",1099,
Vessel,Vessel,The Michael C. Rockefeller Wing,Terracotta,2000,Luba or Songye artist
Vessel,Vessel,The Michael C. Rockefeller Wing,Terracotta,2025,Igbo artist
Model pipe bowl with seated figure,Pipe bowl,The Michael C. Rockefeller Wing,Terracotta,1930,Tikar artist
Millet beer vessel,Vessel,The Michael C. Rockefeller Wing,Terracotta,1995,Senufo artist
Pipe with depiction of a ruler,Pipe,The Michael C. Rockefeller Wing,"Terracotta, wood, iron",1930,Eghap(?) artist
Panel with the god Zeus/Serapis/Ohrmazd and worshiper,Painted panel,Ancient West Asian Art,"Terracotta, gouache",300,
Panel fragment with the god Shiva/Oesho,Painted panel,Ancient West Asian Art,"Terracotta, gouache",300,
Long-necked vessel,Vessel,The Michael C. Rockefeller Wing,Terracotta,1600,Middle Niger artist(s)
Globular vessel with twine impressions,Vessel,The Michael C. Rockefeller Wing,Terracotta,1600,Middle Niger artist(s)
Male ntiri (memorial head),Head,The Michael C. Rockefeller Wing,"Terracotta, applied coating",1700,Akan artist
Female ntiri (memorial head),Head,The Michael C. Rockefeller Wing,"Terracotta, applied coating",1700,Akan artist
Vessel,Vessel,The Michael C. Rockefeller Wing,"Terracotta, pigment",2000,Nupe artist
Figurative vessel,vessel,The Michael C. Rockefeller Wing,Terracotta,1950,Teke or Lari artist
Vessel,Vessel,The Michael C. Rockefeller Wing,Terracotta,1994,Kurumba artist
Vessel with footed base,Vessel,The Michael C. Rockefeller Wing,Terracotta,1400,Tellem artist
Vessel,Vessel,The Michael C. Rockefeller Wing,"Terracotta, slip(?)",1950,Mangbetu artist
Untitled (Vase/Stack),Untitled (Vase/Stack),Modern and Contemporary Art,Glazed ceramic,1967,Peter Voulkos
Vessel Lid,Lid,The Michael C. Rockefeller Wing,Terracotta,1300,
Hornblower attendant figure,Figure,The Michael C. Rockefeller Wing,"Terracotta, applied coating",1925,Anyi-Akan artist
Memorial head,Head,The Michael C. Rockefeller Wing,"Terracotta, post-fired slip(?)",1800,Akan artist
Fragment of a Bowl with a Horse and Rider,Bowl fragment,Medieval Art,"Terracotta with green glaze over slip, decorated in sgraffito",1268,
Tricolor Bowl,Bowl,Medieval Art,"Terracotta with yellow-brown and green glaze over slip, decorated in sgraffito",1399,
Amphoriskos with molded design of Harpokrates and eagles,"Jar, amphoriskos, relief figures, Harpokrates, eagles",Egyptian Art,Pottery,50,
Blue-painted Storage jar,"Jar, blue painted",Egyptian Art,Pottery,-1353,
Untitled (Sculpture),Sculpture,Modern and Contemporary Art,Terracotta,1965,Margaret Israel
Enthroned Virgin,Statuette,The Cloisters,Terracotta,1350,Goro di Gregorio
Bowl Decorated with a Procession of Women,Bowl,Asian Art,Terracotta with ink,550,
Jardinière,Jardinière,European Sculpture and Decorative Arts,"Glazed, high-fired terracotta",1910,Archibald Knox
Direction of the Wind—Unglazed Clay Pipes (Fūi—yakishime paipu),Sculpture,Asian Art,Unglazed Shigaraki white clay,1955,Yagi Kazuo
Plaque depicting a pottery workshop,Plaque,European Sculpture and Decorative Arts,Terracotta,1887,R. W. Martin and Brothers
Mural Tile,Mural tile,Asian Art,Terracotta,220,
Brick,Brick,Asian Art,Terracotta,220,
Vase,Vase,Islamic Art,Terracotta; painted,1999,
Column,Column,Medieval Art,Terracotta,699,
Maternity Figure (Ntekpe),Figure,The Michael C. Rockefeller Wing,Terracotta,2000,Igbo artist
Shard,Shard,Asian Art,Painted terracotta,550,
Lug,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Shard,Shard,Asian Art,Painted terracotta,550,
Antefix,Antefix,Asian Art,Terracotta,899,
Antefix,Antefix,Asian Art,Terracotta,899,
Antefix,Antefix,Asian Art,Terracotta,899,
Votive Plaque,Votive plaque,Asian Art,Terracotta,1199,
Votive Plaque,Votive plaque,Asian Art,Terracotta,1199,
Shard:  Flower,Shard,Asian Art,Painted terracotta,550,
Shard:  Bird,Shard,Asian Art,Painted terracotta,550,
Shard:  Offerer,Shard,Asian Art,Painted terracotta,550,
Shard:  Bird,Shard,Asian Art,Painted terracotta,550,
Shard:  Flower,Shard,Asian Art,Painted terracotta,550,
Shard:  Bird,Shard,Asian Art,Painted terracotta,550,
Repaired Shard,Shard,Asian Art,Painted terracotta,550,
Votive Plaque,Votive plaque,Asian Art,Terracotta,1199,
